,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Unknown,Vocal
Jazz,"['Jazz', 'Avant-Garde']","['Jazz', 'Blues']","['Jazz', ""Children's""]","['Jazz', 'Classical']","['Jazz', 'Comedy/Spoken']","['Jazz', 'Comedy/Spoken', 'Country']","['Jazz', 'Easy Listening']","['Jazz', 'Avant-Garde', 'Electronic']","['Jazz', 'Folk']","['Jazz', 'International']","['Jazz', 'Jazz']","['Jazz', 'Latin']","['Jazz', 'Classical', 'New Age']","['Jazz', 'Pop/Rock']","['Jazz', 'R&B;']","['Jazz', 'Reggae']","['Jazz', 'Religious']","['Jazz', 'Stage & Screen']","['Jazz', 'International', 'Unknown']","['Jazz', 'Vocal']"
Latin,"['Latin', 'Easy Listening', 'Avant-Garde']","['Latin', 'Jazz', 'Blues']","['Latin', 'Stage & Screen', ""Children's""]","['Latin', 'Easy Listening', 'Avant-Garde', 'Classical']","['Latin', 'Jazz', 'Comedy/Spoken']","['Latin', 'Jazz', 'Comedy/Spoken', 'Country']","['Latin', 'Easy Listening']","['Latin', 'Easy Listening', 'Avant-Garde', 'Electronic']","['Latin', 'International', 'Folk']","['Latin', 'International']","['Latin', 'Jazz']","['Latin', 'Latin']","['Latin', 'Easy Listening', 'New Age']","['Latin', 'Pop/Rock']","['Latin', 'R&B;']","['Latin', 'International', 'Reggae']","['Latin', 'Religious']","['Latin', 'Stage & Screen']","['Latin', 'International', 'Unknown']","['Latin', 'International', 'Vocal']"
New Age,"['New Age', 'Pop/Rock', 'Avant-Garde']","['New Age', 'Folk', 'Blues']","['New Age', 'Pop/Rock', 'Stage & Screen', ""Children's""]","['New Age', 'Folk', 'Classical']","['New Age', 'Folk', 'Comedy/Spoken']","['New Age', 'Folk', 'Blues', 'Country']","['New Age', 'Folk', 'Latin', 'Easy Listening']","['New Age', 'Electronic']","['New Age', 'Folk']","['New Age', 'International']","['New Age', 'Jazz']","['New Age', 'Folk', 'Latin']","['New Age', 'New Age']","['New Age', 'Pop/Rock']","['New Age', 'Folk', 'R&B;']","['New Age', 'Folk', 'R&B;', 'Reggae']","['New Age', 'Folk', 'Latin', 'Religious']","['New Age', 'Pop/Rock', 'Stage & Screen']","['New Age', 'International', 'Unknown']","['New Age', 'Folk', 'Vocal']"
Pop/Rock,"['Pop/Rock', 'Avant-Garde']","['Pop/Rock', 'Blues']","['Pop/Rock', 'Stage & Screen', ""Children's""]","['Pop/Rock', 'Avant-Garde', 'Classical']","['Pop/Rock', 'Comedy/Spoken']","['Pop/Rock', 'Country']","['Pop/Rock', 'Easy Listening']","['Pop/Rock', 'Electronic']","['Pop/Rock', 'Folk']","['Pop/Rock', 'International']","['Pop/Rock', 'Jazz']","['Pop/Rock', 'Latin']","['Pop/Rock', 'New Age']","['Pop/Rock', 'Pop/Rock']","['Pop/Rock', 'R&B;']","['Pop/Rock', 'Reggae']","['Pop/Rock', 'Religious']","['Pop/Rock', 'Stage & Screen']","['Pop/Rock', 'Unknown']","['Pop/Rock', 'Vocal']"
R&B;,"['R&B;', 'Avant-Garde']","['R&B;', 'Blues']","['R&B;', 'Classical', 'Stage & Screen', ""Children's""]","['R&B;', 'Classical']","['R&B;', 'Comedy/Spoken']","['R&B;', 'Blues', 'Country']","['R&B;', 'Latin', 'Easy Listening']","['R&B;', 'Electronic']","['R&B;', 'Classical', 'New Age', 'Folk']","['R&B;', 'International']","['R&B;', 'Jazz']","['R&B;', 'Latin']","['R&B;', 'Classical', 'New Age']","['R&B;', 'Pop/Rock']","['R&B;', 'R&B;']","['R&B;', 'Reggae']","['R&B;', 'Latin', 'Religious']","['R&B;', 'Classical', 'Stage & Screen']","['R&B;', 'International', 'Unknown']","['R&B;', 'Vocal']"
Reggae,"['Reggae', 'Pop/Rock', 'Avant-Garde']","['Reggae', 'R&B;', 'Blues']","['Reggae', 'Pop/Rock', 'Stage & Screen', ""Children's""]","['Reggae', 'R&B;', 'Classical']","['Reggae', 'R&B;', 'Comedy/Spoken']","['Reggae', 'R&B;', 'Blues', 'Country']","['Reggae', 'Latin', 'Easy Listening']","['Reggae', 'Electronic']","['Reggae', 'Pop/Rock', 'Folk']","['Reggae', 'International']","['Reggae', 'Latin', 'Jazz']","['Reggae', 'Latin']","['Reggae', 'R&B;', 'Classical', 'New Age']","['Reggae', 'Pop/Rock']","['Reggae', 'R&B;']","['Reggae', 'Reggae']","['Reggae', 'Latin', 'Religious']","['Reggae', 'Pop/Rock', 'Stage & Screen']","['Reggae', 'International', 'Unknown']","['Reggae', 'International', 'Vocal']"
Religious,"['Religious', 'Pop/Rock', 'Avant-Garde']","['Religious', 'Vocal', 'Blues']","['Religious', 'Vocal', ""Children's""]","['Religious', 'R&B;', 'Classical']","['Religious', 'R&B;', 'Comedy/Spoken']","['Religious', 'Vocal', 'Blues', 'Country']","['Religious', 'Pop/Rock', 'Easy Listening']","['Religious', 'Pop/Rock', 'Electronic']","['Religious', 'Folk']","['Religious', 'Vocal', 'International']","['Religious', 'Pop/Rock', 'Jazz']","['Religious', 'Pop/Rock', 'Latin']","['Religious', 'R&B;', 'Classical', 'New Age']","['Religious', 'Pop/Rock']","['Religious', 'R&B;']","['Religious', 'R&B;', 'Reggae']","['Religious', 'Religious']","['Religious', 'Vocal', 'Stage & Screen']","['Religious', 'Pop/Rock', 'Unknown']","['Religious', 'Vocal']"
Stage & Screen,"['Stage & Screen', 'Easy Listening', 'Avant-Garde']","['Stage & Screen', 'Jazz', 'Blues']","['Stage & Screen', ""Children's""]","['Stage & Screen', 'Easy Listening', 'Avant-Garde', 'Classical']","['Stage & Screen', 'Jazz', 'Comedy/Spoken']","['Stage & Screen', 'Country']","['Stage & Screen', 'Easy Listening']","['Stage & Screen', 'Electronic']","['Stage & Screen', 'Folk']","['Stage & Screen', 'Easy Listening', 'Latin', 'International']","['Stage & Screen', 'Jazz']","['Stage & Screen', 'Easy Listening', 'Latin']","['Stage & Screen', 'Easy Listening', 'New Age']","['Stage & Screen', 'Pop/Rock']","['Stage & Screen', 'Folk', 'R&B;']","['Stage & Screen', 'Jazz', 'Reggae']","['Stage & Screen', 'Easy Listening', 'Latin', 'Religious']","['Stage & Screen', 'Stage & Screen']","['Stage & Screen', 'Easy Listening', 'Latin', 'International', 'Unknown']","['Stage & Screen', 'Vocal']"
Unknown,"['Unknown', 'Pop/Rock', 'Avant-Garde']","['Unknown', 'Pop/Rock', 'Blues']","['Unknown', 'Pop/Rock', 'Stage & Screen', ""Children's""]","['Unknown', 'Pop/Rock', 'Avant-Garde', 'Classical']","['Unknown', 'Pop/Rock', 'Comedy/Spoken']","['Unknown', 'Pop/Rock', 'Country']","['Unknown', 'Pop/Rock', 'Easy Listening']","['Unknown', 'Pop/Rock', 'Electronic']","['Unknown', 'Pop/Rock', 'Folk']","['Unknown', 'Pop/Rock', 'International']","['Unknown', 'Pop/Rock', 'Jazz']","['Unknown', 'Pop/Rock', 'Latin']","['Unknown', 'Pop/Rock', 'New Age']","['Unknown', 'Pop/Rock']","['Unknown', 'Pop/Rock', 'R&B;']","['Unknown', 'Pop/Rock', 'Reggae']","['Unknown', 'Pop/Rock', 'Religious']","['Unknown', 'Pop/Rock', 'Stage & Screen']","['Unknown', 'Avant-Garde', 'Pop/Rock', 'Unknown']","['Unknown', 'Pop/Rock', 'Vocal']"
Vocal,"['Vocal', 'International', 'Avant-Garde']","['Vocal', 'Blues']","['Vocal', ""Children's""]","['Vocal', 'Folk', 'Classical']","['Vocal', 'Comedy/Spoken']","['Vocal', 'Blues', 'Country']","['Vocal', 'Stage & Screen', 'Easy Listening']","['Vocal', 'Electronic']","['Vocal', 'Folk']","['Vocal', 'International']","['Vocal', 'Stage & Screen', 'Jazz']","['Vocal', 'Blues', 'Country', 'Latin']","['Vocal', 'New Age']","['Vocal', 'Pop/Rock']","['Vocal', 'R&B;']","['Vocal', 'Reggae']","['Vocal', 'Blues', 'Country', 'Latin', 'Religious']","['Vocal', 'Stage & Screen']","['Vocal', 'International', 'Unknown']","['Vocal', 'Vocal']"
