,x1,x2,x3,x4,x5
3408531,0.0004063189081849,2808,110,0,728
656021,0.0001862847131451,2808,110,0,728
623254,0.0002170892475585,2808,462,5,951
164504,0.0001696284116954,2808,110,0,728
328352,0.0001672815699946,95,30,8,855
688804,0.0001961211035802,229,29,3,540
950956,9.657788053506e-05,2808,462,6,951
852656,0.0001869216182513,2808,462,0,951
66228,8.394276470290544e-05,101,17,9,155
819894,9.335856634696382e-05,101,19,10,245
852665,0.000309101752969,406,59,1,855
33481,0.0006137514806638,403,49,0,1129
852688,0.0003405510668008,2808,369,30,1129
230105,0.0002172379262962,46,6,0,951
230111,0.000103419137013,95,6,1,951
66276,8.255236014636075e-05,229,11,1,155
819946,8.255236014636075e-05,677,82,1,796
852718,0.0006710479910875,2808,110,0,728
1409777,0.0001104214329326,677,67,1,1129
164594,0.0001610416081543,677,99,20,540
492275,0.0001530143529244,2808,364,19,796
197364,0.0006156153376382,2808,364,8,796
131841,9.916958146011205e-05,101,30,9,540
3474187,0.0004240201500985,2808,10,0,204
819983,0.0002375927701257,101,13,17,855
918290,9.37122656083314e-05,2808,364,2,796
33560,0.0001184336780211,2808,372,7,855
394013,9.747453777639498e-05,677,33,0,728
99104,0.0001277769715498,95,30,8,855
492331,0.0001946074121253,2808,364,34,796
33580,0.0002052352240911,141,36,6,796
197424,0.0003339947860951,229,37,4,855
983872,0.0001380239007345,208,22,0,728
885569,0.0005777205020182,162,1,0,1129
852810,0.0001345098707221,2808,462,3,951
295756,0.0002301197969693,2808,372,32,855
164686,0.0001990693387951,2808,369,4,1129
1573712,0.0001029136233199,208,22,1,728
557905,0.0002525481816183,2808,369,0,1129
623443,0.0002145075287808,406,3,0,1129
197460,0.000241681058565,162,4,6,951
66395,0.0002646385216175,141,36,7,796
459616,0.0001179570963965,2808,364,5,796
197475,0.0001098692108075,2808,462,0,951
230244,0.0001029780567747,2808,369,0,1129
852842,0.0002050919111527,81,11,5,796
852855,0.00012794911876,2808,364,103,796
66429,0.0001098206716067,403,47,10,540
99198,8.255236014636075e-05,162,39,1,245
918400,0.0001488723125654,2808,364,8,796
33666,0.0001490182391288,2808,364,4,796
164750,8.806780818611013e-05,2808,372,2,855
820115,0.0001653067896478,2808,462,12,951
230297,0.00013019852766,2808,110,0,728
754587,8.920227557697737e-05,2808,364,2,796
197532,8.255236014636075e-05,162,37,4,155
623518,8.255236014636075e-05,2808,372,3,855
99246,0.0002406380426657,2808,462,9,951
361393,0.0003139220539468,677,82,90,796
492466,9.755091611391968e-05,2808,364,10,796
197582,8.919052757999201e-05,677,99,0,540
66514,9.518006672429924e-05,2808,369,0,1129
787428,0.0007492725493101,2808,369,0,1129
492521,8.255236014636075e-05,2808,372,1,855
852970,0.0001257311264326,406,10,0,951
3441660,0.0001588348635958,2808,10,0,204
295933,0.0001037136214551,2808,369,0,1129
132095,8.255236014636075e-05,2808,462,1,951
852997,0.0001891761259281,2808,462,3,951
820232,0.0001765962550721,2808,99,16,540
66570,0.0001575311165109,406,59,13,855
656420,8.255236014636075e-05,229,11,1,155
295976,0.0001679610537209,162,4,1,951
918569,0.0002046212744217,208,61,2,1129
361541,0.0001562478919641,2808,369,0,1129
918600,0.0002241554218004,2808,462,2,951
1097,8.255236014636075e-05,229,27,1,1129
1098,0.0002087201962231,2808,462,42,951
951374,0.0003534281261745,141,12,1,1129
951375,0.0002930089247663,2808,369,1,1129
754767,8.255236014636075e-05,23,3,1,155
459860,0.0001835835051053,2808,110,0,728
394325,0.000260700879349,406,0,0,728
296024,0.0003570723161524,229,37,13,855
1113,0.0001630832310407,2808,110,1,728
951384,0.0001062600866433,406,82,4,540
263271,0.0001815868165918,2808,369,0,1129
885875,0.0001100938169611,403,43,3,855
492663,8.255236014636075e-05,229,29,2,540
1606776,8.255236014636075e-05,677,67,1,1129
99449,0.0002285243950645,2808,369,4,1129
328824,0.0001702923125031,677,67,0,1129
787579,0.0003769769775031,2808,110,0,728
197757,0.0001200120015468,2808,462,0,951
492670,8.664889528053889e-05,46,12,2,855
1163,8.255236014636075e-05,406,43,1,155
165011,0.0001410838953256,677,116,32,855
3474579,0.0002134868823723,2808,10,0,204
656541,0.0003865053186962,2808,110,0,728
1190,8.255236014636075e-05,677,116,5,855
99508,0.000376102433189,2808,110,0,728
754879,9.965614014325576e-05,2808,462,3,951
591048,0.0001094771315267,2808,462,5,951
33995,8.718180993583352e-05,677,54,0,951
165068,0.0001185737892103,141,19,1,951
394449,9.127257869986142e-05,95,30,6,855
820434,0.0002459898125014,677,54,45,951
165076,0.0001276715265849,2808,462,0,951
165077,0.0002498788870498,89,8,0,1129
722133,0.0004099534267121,2808,110,0,728
689367,0.0002592579804732,2808,462,7,951
99561,0.0001007676176492,95,30,22,855
66800,9.604769323434577e-05,406,59,1,855
787696,8.255236014636075e-05,2808,462,1,951
1266,8.255236014636075e-05,81,8,3,245
787702,0.0001872933380691,2808,369,2,1129
328956,0.0001015804308312,2808,462,0,951
165117,0.0001225725965316,677,54,0,951
591104,0.0001989624127803,229,29,14,540
558339,8.555584438618408e-05,406,82,10,540
853254,9.192418234936348e-05,208,61,0,1129
230667,0.0001974253405894,2808,364,5,796
1836313,9.496732240996972e-05,2808,462,0,951
197921,0.0001783974157133,2808,364,17,796
1312035,8.255236014636075e-05,229,27,2,1129
3278115,9.225097980568816e-05,2808,10,0,204
951589,0.0001565327119709,2808,369,0,1129
165162,0.0001177851744874,2808,364,6,796
787757,0.0002069390989858,2808,364,8,796
34094,0.0002162313801885,2808,372,11,855
66869,0.0001233996764396,2808,462,2,951
755030,8.748035563110106e-05,2808,364,0,796
132449,0.0001612011581453,403,52,21,796
66915,0.0002517589020947,2808,372,389,855
623985,8.39306881544685e-05,2808,372,8,855
820596,8.68902396707511e-05,2808,99,0,540
34172,0.0002292248814816,2808,462,13,951
2786685,9.401881598647088e-05,2808,10,0,204
230784,8.255236014636075e-05,141,36,3,855
99730,0.0001567126489378,229,23,0,951
1433,0.0002126839214119,403,31,11,951
99753,9.696869936065469e-05,403,43,7,855
165294,8.881348055302158e-05,2808,369,1,1129
99770,0.0001441409801102,2808,110,0,728
230845,0.0001100222258849,2808,462,0,951
34249,0.0002796626438958,403,31,20,951
755152,0.0001761579475028,2808,110,1,728
296402,8.255236014636075e-05,403,31,6,245
755156,0.0003276063345008,2808,462,71,951
1498,0.0002083649998589,2808,369,3,1129
2393563,0.000355914836096,677,33,0,728
165345,0.000195073587243,677,54,1,951
132579,8.915258561950432e-05,89,7,8,855
787940,0.0001860113096061,677,54,2,951
230886,9.513139344548604e-05,81,2,2,155
165354,0.0001234271623192,2808,462,0,951
624107,0.000113072057548,2808,462,0,951
3180014,0.0001964894919228,677,3,0,204
853492,0.0002150548621757,2808,462,7,951
361973,8.255236014636075e-05,677,54,2,951
1213943,8.75964344327726e-05,2808,372,0,855
787960,8.388908944907447e-05,403,31,1,951
2393596,0.0005722939484218,208,22,2,728
558596,9.603450270925731e-05,406,82,5,540
3606027,0.0001242391418473,677,3,0,204
329232,0.0002252657178274,2808,369,6,1129
722448,0.0005676684062079,2808,110,0,728
198162,0.0001181409993501,677,99,8,540
951825,0.0001860254972774,2808,369,0,1129
296487,0.0001129073066257,2808,99,3,540
820780,9.60867209628742e-05,46,3,0,1129
99888,8.286788714204501e-05,2808,372,1,855
230963,9.600044194088547e-05,89,22,1,951
1589,0.0001059423532578,28,5,0,855
394806,0.0001319373282386,2808,372,35,855
624190,0.0001713523741656,2808,110,0,728
493122,0.0001855830011164,2808,372,9,855
1611,0.0004348249682687,208,22,1,728
34382,0.0002037937326286,2808,364,0,796
624215,0.0001258299651573,677,116,3,855
591459,0.0001957811378414,208,61,3,1129
231013,0.0001257675747109,229,23,0,951
132710,0.000104976510491,2808,462,3,951
460390,0.0002604310990455,2808,110,1,728
1476233,0.0003882806827069,141,4,0,728
2754189,0.0001073267560699,2808,10,0,204
657041,0.0001036061629409,2808,372,0,855
296601,8.255236014636075e-05,403,31,1,951
624282,0.0004647777650592,2808,110,0,728
198302,0.0001571460451176,2808,462,8,951
657062,0.0002449570042187,208,22,0,728
263852,0.0001186958462806,2808,99,3,540
689836,8.67697090256735e-05,95,9,0,796
919239,9.758609245718692e-05,2808,462,1,951
1050323,0.0002600749727082,2808,110,0,728
132849,9.72095422074897e-05,89,22,1,951
919282,9.096370123952912e-05,2808,364,2,796
132856,0.0001172932192836,677,54,0,951
329468,0.0001289439452635,677,99,24,540
263937,0.0001671046253049,2808,462,18,951
591620,8.255236014636075e-05,229,11,1,155
3376900,0.000103816137432,2808,10,0,204
820999,8.524810649903123e-05,403,31,2,245
460553,0.0001378917181521,229,3,0,728
493327,0.0002055579251383,2808,462,24,951
100116,0.0001965340048373,677,116,3,855
165652,0.0002695560728223,2808,369,0,1129
198426,9.233613778750384e-05,677,67,1,1129
165663,0.00017919285169,2808,364,14,796
755494,0.0001087919292622,2808,372,25,855
755496,0.0001102737548397,2808,369,2,1129
689965,0.000104984965444,101,13,0,855
984877,0.0007908191312531,2808,110,0,728
34617,0.0001197456169341,406,82,4,540
231225,0.0001170251529624,2808,369,0,1129
263995,0.0001044890562459,95,0,0,728
755519,0.0001274866938911,2808,462,9,951
100160,0.0001061653958393,2808,372,192,855
329542,9.977751782528e-05,2808,110,0,728
132940,8.255236014636075e-05,81,8,2,540
67406,0.000118359391209,81,18,14,855
296802,0.0001752652889264,2808,462,4,951
493412,0.0002012463663584,81,5,2,951
100197,0.0001091579401745,89,8,0,1129
165736,0.0001096852459933,2808,364,5,796
558954,0.0002143286579958,2808,110,1,728
296815,0.0001325739357334,95,9,6,796
755570,0.0001169848984184,677,82,6,796
624504,0.0001010335547268,2808,372,2,855
886648,0.0001971519468568,2808,369,0,1129
919418,0.0001054221448493,2808,110,1,728
788347,0.0001291654120928,2808,369,0,1129
198532,0.0001237526436104,2808,372,9,855
853926,9.338743048478542e-05,208,9,9,796
231342,0.0002188460222987,2808,369,0,1129
657329,8.255236014636075e-05,229,37,2,855
395187,0.0001088784117247,2808,462,1,951
165818,0.0002100778544932,403,43,12,855
133057,0.0002739744534894,403,49,7,1129
362437,0.000272778684719,403,52,10,796
165830,0.0002053230248445,141,36,7,796
296903,9.827855718676008e-05,2808,462,5,951
67528,9.189082942335755e-05,162,37,5,540
67529,0.0001737243460401,229,27,0,1129
67539,8.255236014636075e-05,2808,372,1,855
985047,0.0001276099823043,2808,10,0,204
165855,0.000138917607811,2808,99,5,540
919525,0.000151338836219,2808,462,9,951
231397,0.0001594999920093,677,67,0,1129
67561,8.255236014636075e-05,46,5,4,540
985076,0.0003967290170296,2808,110,1,728
3115003,0.0001176559937957,403,0,0,204
133119,9.230664755478117e-05,406,82,3,540
821252,8.625468264734642e-05,403,43,0,855
788508,0.0006363726848854,141,36,7,796
591902,8.255236014636075e-05,141,19,2,951
755745,0.0001292797807315,2808,369,1,1129
985124,0.0003258548668209,677,33,1,728
919598,8.255236014636075e-05,208,31,5,951
67631,0.0001905067311652,208,61,19,1129
34867,0.0002695292311028,677,99,0,540
919603,0.0002264852310761,2808,369,7,1129
133177,0.0001291135681152,677,54,0,951
1968188,0.0001120090239032,2808,110,0,728
34880,8.816128315995688e-05,2808,369,0,1129
690254,0.0001938801944735,2808,364,23,796
755792,8.255236014636075e-05,677,54,1,951
2130,8.255236014636075e-05,50,8,6,155
34899,0.0001812781344293,2808,369,8,1129
788568,0.0001378727776232,403,43,16,855
788569,0.0001732477168682,403,47,9,540
788582,8.255236014636075e-05,229,27,5,1129
100473,0.000232264172413,2808,462,6,951
198783,0.0001211427306503,403,47,14,540
166025,0.0001041031543855,406,75,0,245
100496,8.765737247417728e-05,2808,462,0,951
166033,0.0005122674334028,229,23,0,951
329883,8.91385868472725e-05,2808,110,1,728
264350,0.0004685645465334,141,12,2,1129
919717,8.466293647069939e-05,2808,462,0,951
34988,0.0001607350829701,2808,462,11,951
886961,0.0002435747766444,2808,369,1,1129
2394289,8.98852420444559e-05,2808,10,0,204
952503,9.852877448256664e-05,2808,110,0,728
854203,0.0002451349467603,2808,462,1,951
2252,0.0001017941534543,2808,364,1,796
35021,0.0001752414107066,677,99,15,540
755918,0.0003479056203721,2808,110,3,728
231645,9.260676858093624e-05,95,7,14,245
100575,0.0002928950886134,89,8,0,1129
2273,0.0002340210891079,46,12,2,855
264430,0.000120246886095,2808,369,0,1129
198901,8.530518241256271e-05,403,47,20,540
329978,0.0001087014622334,2808,110,0,728
35076,0.0001787789639066,677,54,9,951
919812,0.0001236378236344,677,54,3,951
198922,8.938193958592427e-05,2808,99,3,540
690456,0.0001031549970826,2808,369,4,1129
493848,0.0002775797598418,208,61,24,1129
2330,0.0001624200606606,23,1,5,855
592161,0.0005043876308568,2808,110,0,728
919846,8.44913566053904e-05,2808,462,1,951
428329,0.0008218705089432,2808,110,0,728
133420,9.516558950030765e-05,2808,462,0,951
559405,0.0004144351756525,229,27,1,1129
919853,8.255236014636075e-05,2808,372,1,855
100659,0.0001109659181523,2808,369,1,1129
264499,0.000366629096279,2808,110,0,728
67900,8.255236014636075e-05,677,116,1,855
3639618,0.000202140558003,2808,10,0,204
821571,0.0001727133814983,677,99,84,540
3410250,0.0001999691436586,677,3,0,204
330061,9.389465220258372e-05,2808,462,0,951
821590,8.255236014636075e-05,677,116,2,855
2411,9.623200256889972e-05,208,4,34,855
395633,8.57704232715447e-05,2808,462,0,951
919928,8.255236014636075e-05,141,36,3,855
559501,9.59355677139379e-05,406,23,0,796
166291,0.0003295355536102,2808,369,6,1129
133528,8.312917905601456e-05,2808,364,2,796
264617,0.0001268238438882,2808,369,0,1129
362922,8.255236014636075e-05,229,37,1,855
821675,0.0001600373262813,2808,462,0,951
199089,0.0001194956431444,2808,110,0,728
199090,8.255236014636075e-05,101,13,1,855
3475903,0.0005747899359578,2808,10,0,204
494016,9.783473635272192e-05,2808,462,0,951
887235,8.816128315995688e-05,2808,369,0,1129
920004,0.0001526233514157,2808,110,0,728
788937,8.626394445745282e-05,677,82,5,796
952786,0.0006277535288715,2808,369,2,1129
756180,0.0003424477764369,2808,462,13,951
494038,0.0001107617078096,2808,110,0,728
952794,0.0001775857129204,162,39,12,245
100840,0.0001110899881614,2808,364,0,796
166383,8.255236014636075e-05,81,8,1,245
100854,0.0001523440225421,101,19,9,245
952834,8.255236014636075e-05,2808,462,1,951
920073,0.0001468277081804,2808,364,12,796
35338,0.0002355518230104,677,82,9,796
2578,9.244058409315836e-05,2808,462,0,951
199194,9.35489935388848e-05,95,9,0,796
690718,0.0003537697647816,89,22,4,951
920101,8.886738338585822e-05,2808,372,4,855
395819,8.453249909648012e-05,162,37,8,155
625201,0.0001531968327698,677,54,2,951
625203,9.292693717089851e-05,2808,462,0,951
887348,9.036732008061282e-05,403,31,11,245
920117,8.255236014636075e-05,2808,372,1,855
68155,0.0001176373498136,677,99,12,540
199229,8.255236014636075e-05,403,13,1,155
789055,0.0001829432963312,2808,369,0,1129
2034242,0.0002111600961859,677,33,0,728
756291,0.0001457642724797,677,82,10,796
789064,0.0002560784211861,2808,462,3,951
461391,9.911433978902258e-05,2808,462,0,951
133719,0.0002529835719444,208,31,10,951
363100,0.0001130270794756,2808,462,1,951
297569,0.0001366901405195,2808,369,0,1129
920165,8.874733593780119e-05,2808,372,0,855
166505,0.0002910508298902,2808,369,1,1129
625278,0.0001955492967438,2808,369,2,1129
35464,0.0001696257355923,2808,372,6,855
559785,0.0001425840328056,2808,462,0,951
428717,0.0001805392032726,2808,372,15,855
527024,8.646956063558716e-05,2808,364,1,796
428725,9.282501924841622e-05,2808,369,0,1129
2750,0.0001341014627394,677,67,0,1129
133832,8.430977400188217e-05,406,82,8,540
199369,8.255236014636075e-05,406,75,1,245
101072,0.000230502293064,2808,110,0,728
592595,0.0003159095915154,2808,369,3,1129
330453,0.0001408205845814,677,54,1,951
887513,0.0001216658571138,50,6,1,796
297702,0.0001782510886617,2808,372,14,855
133883,0.0001653405559362,229,27,0,1129
166658,0.0001342328103788,2808,462,2,951
35587,0.0002085436017253,2808,462,11,951
953102,0.0001038343576624,2808,369,0,1129
756518,8.255236014636075e-05,677,99,2,540
363307,0.0001860539543173,229,23,0,951
101164,9.874318720672236e-05,208,61,1,1129
2867,0.0001368079081227,2808,364,0,796
559927,0.0001331592863477,677,67,0,1129
3345212,0.0002867650705634,2808,10,0,204
363327,0.0001075703040183,208,61,0,1129
887619,0.0001002101476966,2808,372,9,855
133957,0.0002496795834518,2808,110,0,728
854854,0.0003124919870811,2808,369,2,1129
822089,8.255236014636075e-05,2808,462,1,951
330575,0.0001471744482283,2808,99,15,540
133969,0.0001395981856097,2808,364,12,796
854866,0.0001379604270564,208,22,1,728
887638,0.0001741809303178,38,7,6,951
789340,0.0001452095247287,2808,369,2,1129
133988,0.0001841825817689,50,0,0,1129
330601,0.000219338137349,406,59,10,855
166767,8.768827261293936e-05,406,43,3,155
297839,8.255236014636075e-05,2808,369,1,1129
35697,0.0001159106073624,677,116,1,855
297849,8.255236014636075e-05,2808,372,1,855
396154,9.6579944843818e-05,677,116,1,855
166785,0.000155627631893,2808,372,8,855
461698,0.0001446637141469,2808,369,0,1129
35719,9.35706479084742e-05,2808,364,3,796
494474,0.0001869951709602,141,36,1,796
330634,0.0002370865533387,50,10,9,540
1772438,9.701301171178467e-05,2808,110,0,728
723868,0.000299655526263,2808,110,0,728
527267,0.0001315069196982,2808,369,7,1129
134051,0.0002710220048971,2808,369,1,1129
297894,0.0002313283158516,2808,372,14,855
887719,9.132360756318072e-05,81,11,5,796
887718,8.44519780320535e-05,677,116,2,855
461737,0.0001106381865615,403,52,1,796
658346,0.0002487782670989,677,116,13,855
756656,0.0001536707544515,95,30,26,855
2526137,9.41801548063552e-05,2808,10,0,204
68551,0.000291397326623,403,49,15,1129
494537,0.0001527223394809,406,43,5,155
297955,0.0001167974907894,2808,364,4,796
3056,8.255236014636075e-05,677,116,1,855
855034,0.0003545302440741,2808,369,0,1129
887806,0.0001180025435024,2808,462,1,951
756740,0.0001105556843832,2808,364,10,796
789514,8.255236014636075e-05,229,37,3,855
1084430,8.562367016226634e-05,2808,110,0,728
756754,0.0001493379098466,2808,110,0,728
527379,8.255236014636075e-05,101,17,8,155
35864,8.712532917533245e-05,2808,462,1,951
232480,0.0001661218293926,50,10,6,540
756772,0.0001095543926565,2808,364,8,796
101415,0.0001523011049659,2808,369,1,1129
592954,0.0002746342542193,403,49,22,1129
625731,0.0001530268582869,2808,369,0,1129
625736,0.0001135849759974,2808,372,18,855
625739,0.000337930532737,2808,364,16,796
560208,9.366785821379168e-05,2808,99,18,540
396372,9.39316243861854e-05,406,75,28,245
3170,0.0001290761192958,2808,364,1,796
232564,0.000121706501334,2808,99,40,540
2690165,0.0001300796267744,403,0,0,204
68738,0.0001118136865371,2808,462,2,951
232598,0.0001832487504256,2808,369,1,1129
3226,0.000157950904045,2808,110,0,728
494746,0.0001784655194774,677,54,1,951
691371,0.0002572626967684,2808,369,3,1129
68780,0.0001342022071242,406,82,13,540
494774,0.0001065963000014,2808,369,0,1129
887990,9.54547668293616e-05,50,0,0,1129
855232,0.0002248635770926,2808,369,1,1129
2165952,0.0002527585978657,2808,110,1,728
101575,0.00010643664657,229,3,0,728
953552,0.0001373675315184,2808,369,3,1129
330967,8.972337555456093e-05,95,21,7,540
789721,0.0001776761088413,403,52,9,796
756959,0.0001173515536559,403,43,1,855
265440,9.366816094754228e-05,2808,372,6,855
593129,0.0001051632518135,403,52,1,796
1608941,0.0002055499916411,208,31,7,951
199917,0.0001542465141491,23,1,1,1129
265456,9.654608114588817e-05,2808,99,17,540
298225,0.0001079984624238,2808,369,1,1129
789754,0.0001938637272633,208,22,0,728
101628,8.451764391402748e-05,406,75,1,245
232701,0.0001310086601859,403,43,7,855
36106,0.0006280852757049,2808,372,2,855
789775,0.0001005171825475,406,82,15,540
462110,0.0002391732592195,2808,462,4,951
68896,0.0001173197371177,677,33,2,728
68898,8.255236014636075e-05,81,8,1,245
1379627,0.0001353341539318,403,8,0,728
167220,0.0001327127842981,229,17,1,796
199995,0.0001513032121462,2808,372,37,855
855356,9.98575778759942e-05,95,9,1,796
101701,0.0001004794011391,2808,462,8,951
68934,0.0005276652459108,406,23,4,796
757070,9.971998025265112e-05,2808,364,1,796
3413,8.255236014636075e-05,162,37,1,155
2592086,0.0002637101389561,677,3,3,204
3214680,8.255236014636075e-05,11,1,1,728
3426,0.0002762741904649,677,33,2,728
757093,0.0001104927461591,677,33,0,728
920939,0.0002768827599689,677,116,4,855
855405,0.000119306174297,95,9,12,796
167287,0.0001451024271764,2808,462,15,951
855423,0.0001019089514038,2808,364,36,796
167296,8.286788714204501e-05,2808,372,1,855
2395521,8.842307975239016e-05,2808,110,0,728
396676,0.0002422929867683,403,52,35,796
200074,0.0002583784472778,2808,462,11,951
101776,8.551124752439585e-05,2808,99,4,540
167320,0.0002118127680056,2808,462,13,951
691616,0.0001716112036568,2808,110,0,728
920994,0.0001813357897245,2808,462,15,951
101795,0.0003781795939096,406,10,3,951
232869,0.0003621637197864,677,67,3,1129
757157,0.0002604222363664,2808,462,5,951
921002,0.0001439667433626,677,82,17,796
560554,0.0001019942316332,2808,369,0,1129
757177,0.0002163339919085,2808,364,1,796
921024,0.0001514701059213,2808,369,0,1129
167361,0.0001811271370282,677,67,5,1129
626115,8.835780757220406e-05,89,6,0,796
69060,0.0001912769842993,2808,462,7,951
888262,0.0001426140714299,2808,369,0,1129
134600,0.0004657691838885,677,67,26,1129
986573,0.0002503445835603,2808,110,0,728
36310,0.0001752576063889,2808,462,4,951
36312,0.0001760767020218,403,8,0,728
167386,0.0001640780949642,677,82,8,796
3313123,0.0001153562092597,2808,10,0,204
36327,0.000161003834186,677,67,0,1129
167399,8.255236014636075e-05,50,3,1,855
855531,0.0002254845655909,162,37,17,540
822777,0.0003414868217339,23,6,7,245
757251,9.134940666331348e-05,403,31,0,951
101895,0.0004400517024072,677,67,2,1129
3595,0.0001950880025982,50,3,14,855
953875,8.255236014636075e-05,2808,364,2,796
69153,0.0001590455854351,95,21,35,540
3627,0.0001749913911255,141,19,4,951
36402,8.255236014636075e-05,2808,372,1,855
101946,0.0001392252540663,677,116,35,855
331323,0.0003628766054729,2808,369,0,1129
790078,0.0001073579015401,2808,364,4,796
101953,0.0001200512723395,677,54,2,951
855619,0.0001043397341827,2808,369,1,1129
986695,0.0001420036707764,2808,369,0,1129
134729,0.0001917610445257,2808,462,37,951
888394,9.215368659720275e-05,677,82,0,796
233035,9.536116589790736e-05,162,39,6,245
3669,0.000389100921676,2808,462,1,951
757335,0.0001051975149278,28,5,2,855
822874,8.255236014636075e-05,229,37,2,855
626268,0.0001252862411108,95,21,11,540
167517,0.0002697404448894,2808,364,18,796
757342,0.000361099704338,2808,369,36,1129
691807,0.0001539753748261,50,10,4,540
855655,0.0001543234597704,229,27,0,1129
1019495,0.0003368131969519,2808,110,0,728
